ImageID,Source,LabelName,Confidence,XMin,XMax,YMin,YMax,IsOccluded,IsTruncated,IsGroupOf,IsDepiction,IsInside
0007cebe1b2ba653,xclick,/m/01g317,1,0.7345133,0.9321534,0.0,0.36946902,0,1,0,0,0
000a045a0715d64d,xclick,/m/01g317,1,0.35787922,0.4064801,0.35920176,0.5144124,1,0,0,0,0
000a045a0715d64d,xclick,/m/01g317,1,0.3681885,0.46539026,0.41241685,0.50554323,1,0,0,0,0
000a045a0715d64d,xclick,/m/01g317,1,0.43151695,0.48011783,0.32815966,0.4767184,1,0,0,0,0
000a045a0715d64d,xclick,/m/01g317,1,0.48011783,0.5552283,0.28603104,0.4789357,1,0,0,0,0
000a1249af2bc5f0,xclick,/m/01g317,1,0.0,0.59117645,0.0,0.9977827,0,1,0,0,0
000a1249af2bc5f0,xclick,/m/03bt1vf,1,0.0,1.0,0.0,1.0,1,0,0,0,0
000a1249af2bc5f0,xclick,/m/04yx4,1,0.22205882,0.99852943,0.0,0.98891354,1,1,0,0,0
00173afdc7581c41,xclick,/m/01g317,1,0.0,0.4419643,0.11904762,0.76488096,1,0,0,0,0
00173afdc7581c41,xclick,/m/04yx4,1,0.0,0.4486607,0.116071425,0.9672619,1,1,0,0,0
00173afdc7581c41,xclick,/m/04yx4,1,0.40848213,0.99776787,0.0,0.9970238,1,1,0,0,0
001840a807e454c7,xclick,/m/01g317,1,0.0,0.8953125,0.11666667,1.0,0,0,1,0,0
001997021f01f208,xclick,/m/01g317,1,0.25366876,0.4821803,0.22861587,0.688958,0,0,0,0,0
001997021f01f208,xclick,/m/01g317,1,0.4716981,0.8134172,0.30793157,0.6702955,0,0,0,1,0
001a809ad40a2f84,xclick,/m/01g317,1,0.0875,0.1328125,0.26931107,0.3966597,1,0,0,0,0
001a809ad40a2f84,xclick,/m/01g317,1,0.2109375,0.328125,0.11899791,0.3256785,1,0,0,0,0
0047534bb816eb48,xclick,/m/01g317,1,0.0,0.008368201,0.68457943,0.7733645,1,1,0,0,0
0047534bb816eb48,xclick,/m/01g317,1,0.059972107,0.08089261,0.72897196,0.7757009,1,0,0,0,0
0047534bb816eb48,xclick,/m/01g317,1,0.090655506,0.11576011,0.7079439,0.7803738,1,0,0,0,0
0047534bb816eb48,xclick,/m/01g317,1,0.11297071,0.13668062,0.7453271,0.78271025,1,0,0,0,0
0047534bb816eb48,xclick,/m/01g317,1,0.122733615,0.15202232,0.56542057,0.6401869,1,0,0,0,0
0047534bb816eb48,xclick,/m/01g317,1,0.14365411,0.17433752,0.71028036,0.7920561,1,0,0,0,0
0047534bb816eb48,xclick,/m/01g317,1,0.17154811,0.18688981,0.6518692,0.7242991,1,0,0,0,0
0047534bb816eb48,xclick,/m/01g317,1,0.20362622,0.23430963,0.7453271,0.79672897,1,0,0,0,0
0047534bb816eb48,xclick,/m/01g317,1,0.22315203,0.23709902,0.69158876,0.72196263,1,0,0,0,0
0047534bb816eb48,xclick,/m/01g317,1,0.23709902,0.25662482,0.75233644,0.80607474,1,0,0,0,0
0047534bb816eb48,xclick,/m/01g317,1,0.37935844,0.39330545,0.6285047,0.71028036,1,0,0,0,0
0047534bb816eb48,xclick,/m/01g317,1,0.38772663,0.40446305,0.73364484,0.7873832,1,0,0,0,0
0047534bb816eb48,xclick,/m/01g317,1,0.40306833,0.45606694,0.7359813,0.82476634,1,0,0,0,0
0047534bb816eb48,xclick,/m/01g317,1,0.42119944,0.44490933,0.67523366,0.7570093,1,0,0,0,0
0047534bb816eb48,xclick,/m/01g317,1,0.48953974,0.5160391,0.7383177,0.7757009,1,0,0,0,0
0047534bb816eb48,xclick,/m/01g317,1,0.6220363,0.64156204,0.7359813,0.7990654,1,0,0,0,0
0047534bb816eb48,xclick,/m/01g317,1,0.62343097,0.64714086,0.6728972,0.70327103,1,0,0,0,0
0047534bb816eb48,xclick,/m/01g317,1,0.62343097,0.6610879,0.74766356,0.8294392,1,0,0,0,0
0047534bb816eb48,xclick,/m/01g317,1,0.66945606,0.7140865,0.74766356,0.8364486,1,0,0,0,0
0047534bb816eb48,xclick,/m/01g317,1,0.68619245,0.735007,0.6635514,0.78971964,1,0,0,0,0
0047534bb816eb48,xclick,/m/01g317,1,0.73779637,0.9986053,0.614486,0.85280377,1,1,1,0,0
004e21eb2e686f40,xclick,/m/01g317,1,0.26458332,0.8125,0.1796875,0.6875,0,0,1,1,0
00575b9132bb3746,xclick,/m/01g317,1,0.19321534,0.42920354,0.0,0.5553097,0,1,0,0,0
00575b9132bb3746,xclick,/m/01g317,1,0.37168142,0.9100295,0.048672568,0.4358407,0,0,0,0,0
0065e1098f7a353b,xclick,/m/01g317,1,0.3,0.5296875,0.2375,0.35,1,0,0,0,0
0065e1098f7a353b,xclick,/m/01g317,1,0.30625,0.7765625,0.26041666,0.4875,1,0,0,0,0
006f87bf928f9ba3,xclick,/m/05r655,1,0.0,0.3938053,0.22123894,1.0,0,1,0,0,0
006f87bf928f9ba3,xclick,/m/05r655,1,0.2979351,0.7300885,0.32300884,1.0,0,0,0,0,0
006f87bf928f9ba3,xclick,/m/01g317,1,0.59292036,1.0,0.12610619,1.0,1,1,0,0,0
006f87bf928f9ba3,xclick,/m/03bt1vf,1,0.0,0.37758112,0.22566372,1.0,0,1,0,0,0
006f87bf928f9ba3,xclick,/m/03bt1vf,1,0.29646018,0.73303837,0.32964602,1.0,0,1,0,0,0
00723dac8201a83e,xclick,/m/01g317,1,0.2890625,0.3421875,0.30416667,0.36041668,1,0,0,0,0
00723dac8201a83e,xclick,/m/01g317,1,0.4875,0.540625,0.30416667,0.35,1,0,0,0,0
00723dac8201a83e,xclick,/m/01g317,1,0.675,0.753125,0.2375,0.5520833,1,0,0,0,0
00770ee8f5ad87ef,xclick,/m/04yx4,1,0.04264706,0.9558824,0.0,1.0,0,0,0,0,0
0081f359f925712e,xclick,/m/01g317,1,0.2522686,0.45735028,0.22980252,0.62836623,0,0,0,0,0
008216e31b1aecf0,xclick,/m/01g317,1,0.44035345,0.49189985,0.4390244,0.48337027,1,0,0,0,0
008216e31b1aecf0,xclick,/m/01g317,1,0.46686304,0.49189985,0.4323725,0.4722838,1,0,0,0,0
